1,国際山の日（国際山岳デー） 
2,"後三年の役が終結（1087年 - 寛治元年11月14日）" 
3,"島原の乱が勃発（1637年 - 寛永14年10月25日）" 
4,イギリス連邦発足（1931年）,1931 
5,エドワード8世が退位（1936年）,1936 
6,イタリアが国際連盟脱退（1937年）,1937 
7,第二次世界大戦：ナチス・ドイツ、イタリア王国がアメリカ合衆国に宣戦布告（1941年）,1941 
8,国連総会でユニセフ設立を採択（1946年）,1946 
9,オートボルタ（後のブルキナファソ）がフランス共和国内の自治共和国となる（1958年）,後のブルキナファソ)がフランス共和国内の自治共和国となる(1958 
10,佐藤栄作首相（第2次佐藤第1次改造内閣）が非核三原則を表明（1967年）,第2次佐藤第1次改造内閣)が非核三原則を表明(1967 
11,大韓航空機YS-11ハイジャック事件（1969年）,1969 
12,ローマ教皇ヨハネ・パウロ2世がローマのルター派教会を訪問し、新旧キリスト教の対立が終結（1983年）,1983 
13,第一次チェチェン紛争勃発（1994年）,1994 
14,第3回気候変動枠組条約締約国会議（COP3）が京都議定書を採択して閉幕（1997年）,COP3)が京都議定書を採択して閉幕(1997 
