,売上高,EPS,営業利益率,自己資本比率,現金,営業キャッシュフロー,一株配当,配当性向
2914 日本たばこ産業,8,6,○,○,6,○,○,○
5192 三ツ星ベルト,○,6,7,○,○,○,○,11
5334 日本特殊陶業,○,○,○,○,6,6,○,8
8595 ジャフコグループ,7,○,○,○,○,7,6,10
4595 ミズホメディー,○,○,○,○,○,○,○,○
7744 ノーリツ鋼機,○,○,12,○,7,7,○,9
3284 フージャース HD,○,○,○,8,○,○,○,6
,売上高,EPS,営業利益率,自己資本比率,現金,営業キャッシュフロー,一株配当,配当性向
6035 アイ・アールジャパン HD,○,○,○,○,○,○,○,○
3948 光ビジネスフォーム,8,○,12,○,○,○,8,○
1833 奥村組,8,○,16,○,8,○,7,○
,売上高,EPS,営業利益率,自己資本比率,現金,営業キャッシュフロー,一株配当,配当性向
3245 ディア・ライフ,○,6,7,○,6,6,○,○
7638 NEW ART HOLDINGS,6,○,9,○,6,○,○,○
2986 LA HD,○,○,○,○,○,○,○,○
6651 日東工業,6,○,11,○,○,8,○,○
,売上高,EPS,営業利益率,自己資本比率,現金,営業キャッシュフロー,一株配当,配当性向
,売上高,EPS,営業利益率,自己資本比率,現金,営業キャッシュフロー,一株配当,配当性向
,売上高,EPS,営業利益率,自己資本比率,現金,営業キャッシュフロー,一株配当,配当性向
7847 グラファイトデザイン,6,7,○,○,○,8,○,6
,売上高,EPS,営業利益率,自己資本比率,現金,営業キャッシュフロー,一株配当,配当性向
7847 グラファイトデザイン,6,7,○,○,○,8,○,6
